bucket,group,address,data_id,current_label,hcad_acct,legal_lines,whole_lots,tracts,hcad_area_sf,har_lot,plat_median_sf,plat_risk,chain_marker,unit_letter,parcel_events,deciding_signal,evidence_needed
RESOLVED-SINGLE,B,830 E 27th Street,act_830-e-27,Single Lot,0350820230037,LTS 37 & 38 BLK 23|SUNSET HEIGHTS,2,0,6010,3521,5980,,,,,"legal assembled 2 lots, 6,010 sf >= 2x2400",
RESOLVED-SINGLE,B,902 E 25TH Street,act_902-e-25,Single Lot,0351010610001,LTS 1 & 2 BLK 61|SUNSET HEIGHTS,2,0,6090,3210,5919,,,,,"legal assembled 2 lots, 6,090 sf >= 2x2400",
RESOLVED-SINGLE,B,920 E 25TH Street,act_920-e-25,Split Lot,0351010610010,LTS 10 & 11 BLK 61|SUNSET HEIGHTS,2,0,6060,3134,5919,,,,,"legal assembled 2 lots, 6,060 sf >= 2x2400",
RESOLVED-SINGLE,B+C,1011 E 25th Street,act_1011-e-25,(unlabeled),0350930460040,LTS 40 41 42 & 43 BLK 46|SUNSET HEIGHTS,4,0,11971,3470,5989,,,,,"legal assembled 4 lots, 11,971 sf >= 4x2400",
RESOLVED-SINGLE,B+C,231 E 26th Street,act_231-e-26,(unlabeled),0350870330001,LTS 1 2 & 3 BLK 33|SUNSET HEIGHTS,3,0,9000,3920,3000,,,,,"legal assembled 3 lots, 9,000 sf >= 3x2400",
RESOLVED-SINGLE,C,"1003 Enid St, Houston, Tx 77009",2131312670,(unlabeled),0331310910008,LT 8 BLK 91|BROOKE SMITH,1,0,5000,5000,5000,YES,,,,"legal LT n + 5,000 sf full lot",
RESOLVED-SINGLE,C,"1007 Cordell St, Houston, Tx 77009",2131312288,(unlabeled),0331260820010,LT 10 BLK 82|BROOKE SMITH,1,0,5000,5000,5000,YES,,,,"legal LT n + 5,000 sf full lot",
RESOLVED-SINGLE,C,"1010 Woodland St, Houston, Tx 77009",2131374828,(unlabeled),0620660000003,LT 3 BLK 15|NORHILL,1,0,5078,5000,5092,YES,,,,"legal LT n + 5,078 sf full lot",
RESOLVED-SINGLE,C,"1013 Woodland St, Houston, TX 77009",pmt_1013-woodland-st-77009,(unlabeled),0620650000013,LT 13 BLK 14|NORHILL,1,0,5091,,5091,YES,,,,"legal LT n + 5,091 sf full lot",
RESOLVED-SINGLE,C,"1015 Adele St, Houston, Tx 77009",2131191611,(unlabeled),0350120060007,LT 7 BLK 6|STUDES SEC 1,1,0,4981,5000,5000,YES,,,,"4,981 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"1021 Nadine St, Houston, Tx 77009",2131191267,(unlabeled),0350110030005,LT 5 BLK 3|STUDES SEC 1,1,0,5000,5000,5000,YES,,,,"legal LT n + 5,000 sf full lot",
RESOLVED-SINGLE,C,"1023 Nashua St, Houston, Tx 77008",2131538429,(unlabeled),0771820140028,LT 28 BLK 14|TIMBERGROVE MANOR SEC 3,1,0,8628,8772,8706,,,,,"legal LT n + 8,628 sf full lot",
RESOLVED-SINGLE,C,"1025 Adele St, Houston, Tx 77009",2131191607,(unlabeled),0350120060004,LT 4 BLK 6|STUDES SEC 1,1,0,5371,5000,5000,YES,,,,"legal LT n + 5,371 sf full lot",
RESOLVED-SINGLE,C,"1032 Alexander St, Houston, Tx 77008",2131360701,(unlabeled),0600840070005,LT 5 BLK 7|WEST HEIGHTS,1,0,6000,6000,5999,,,,,"legal LT n + 6,000 sf full lot",
RESOLVED-SINGLE,C,"1032 Key St, Houston, TX 77009",pmt_1032-key-st-77009,(unlabeled),0621120000029,LT 8 BLK 133|NORTH NORHILL,1,0,5000,,5000,YES,,,,"legal LT n + 5,000 sf full lot",
RESOLVED-SINGLE,C,"1040 Louise St, Houston, TX 77009",pmt_1040-louise-st-77009,(unlabeled),0350120060019,LT 19 BLK 6|STUDES SEC 1,1,0,4908,,5000,YES,,,,"4,908 sf = 98% of plat median 5,000",
RESOLVED-SINGLE,C,"110 Harris Ct, Houston, Tx 77009",2131378379,(unlabeled),0572570000010,LT 10 & TR 8A|HARRIS COURT,1,1,4360,4150,4040,,,,,"4,360 sf = 108% of plat median 4,040",
RESOLVED-SINGLE,C,"1107 E 27th St, Houston, Tx 77009",2131242651,(unlabeled),0351100060003,LT 3 BLK 6|SUNSET HEIGHTS EXTN ,1,0,4999,5000,4999,YES,,,,"4,999 sf = 100% of plat median 4,999",
RESOLVED-SINGLE,C,"1115 Adele St, Houston, Tx 77009",2131191542,(unlabeled),0350120050008,LT 8 BLK 5|STUDES SEC 1,1,0,4999,5000,5000,YES,,,,"4,999 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"1118 Worthshire St, Houston, TX 77008",pmt_1118-worthshire-st-77008,(unlabeled),0771810090009,LT 9 BLK 9|TIMBERGROVE MANOR,1,0,6733,,7784,,,,,"legal LT n + 6,733 sf full lot",
RESOLVED-SINGLE,C,"1123 Nadine St, Houston, Tx 77009",2131191409,(unlabeled),0350110040006,LT 6 BLK 4|STUDES SEC 1,1,0,5000,5000,5000,YES,,,,"5,000 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"1128 Adele St, Houston, Tx 77009",2131191475,(unlabeled),0350110040018,LT 18 BLK 4|STUDES SEC 1,1,0,4996,5000,5000,YES,,,,"4,996 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"1141 Alexander St, Houston, Tx 77008",2131360412,(unlabeled),0600830020023,LT 23 BLK 2|WEST HEIGHTS,1,0,6010,6000,6000,,,,,"legal LT n + 6,010 sf full lot",
RESOLVED-SINGLE,C,"117 E 25th St, Houston, Tx 77008",2131437447,(unlabeled),0562820000009,LTS 8 & 9 BLK 8|MILROY PLACE,2,0,9464,9464,4836,YES,,,,"legal assembled 2 lots, 9,464 sf >= 2x2400",
RESOLVED-SINGLE,C,"117 Munford St, Houston, Tx 77008",2131437359,(unlabeled),0562790000009,LT 9 BLK 5|MILROY PLACE,1,0,5200,5200,5200,YES,,,,"legal LT n + 5,200 sf full lot",
RESOLVED-SINGLE,C,"118 E 24th St, Houston, Tx 77008",2131437170,(unlabeled),0562750000012,LT 12 BLK 1|MILROY PLACE,1,0,5069,5200,5208,YES,,,,"legal LT n + 5,069 sf full lot",
RESOLVED-SINGLE,C,"1201 Cordell St, Houston, Tx 77009",2131177133,(unlabeled),0331250800007,LT 7 BLK 80|BROOKE SMITH,1,0,5022,5000,4992,YES,,,,"legal LT n + 5,022 sf full lot",
RESOLVED-SINGLE,C,"1204 Cordell St, Houston, Tx 77009",2131176672,(unlabeled),0331220730005,LT 5 BLK 73|BROOKE SMITH,1,0,5000,5000,5000,YES,,,,"5,000 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"1208 Cordell St, Houston, Tx 77009",2131176668,(unlabeled),0331220730003,LT 3 BLK 73|BROOKE SMITH,1,0,5000,5000,5000,YES,,,,"5,000 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"122 Redan St, Houston, Tx 77009",2131318105,(unlabeled),0342540000006,LT 6 BLK 2|STINDE SEC 1,1,0,6350,6300,6350,,,,,"legal LT n + 6,350 sf full lot",
RESOLVED-SINGLE,C,"1225 Ashland St A, Houston, TX 77008",pmt_1225-ashland-st-a-77008,(unlabeled),0201770000009,LT 10 & TR 9 BLK 181|HOUSTON HEIGHTS,1,1,5800,,6456,,yes,yes,,"legal LT n + 1 TR + 5,800 sf full lot",
RESOLVED-SINGLE,C,"1230 W 26th St, Houston, Tx 77008",2131436719,(unlabeled),0561630000103,TR 19B|SHADY ACRES,0,1,5444,5520,2889,,,,,"legal TR only (1 frag) + 5,444 sf full lot",
RESOLVED-SINGLE,C,"1300 Waverly St, Houston, Tx 77008",2131146866,(unlabeled),0201720000038,TRS 19B 20B & 21B BLK 176|HOUSTON HEIGHTS,0,3,8059,8000,7263,,,,,"legal TR only (3 frag) + 8,059 sf full lot",
RESOLVED-SINGLE,C,"1306 W 21st St, Houston, Tx 77008",2131331131,(unlabeled),0561660000217,LT 217|SHADY ACRES SEC 2,1,0,6273,6250,8206,,,,,"legal LT n + 6,273 sf full lot",
RESOLVED-SINGLE,C,"1310 Omar St, Houston, Tx 77008",2131241262,(unlabeled),0350240460009,LTS 9 & 10 BLK 46|STUDES SEC 2,2,0,6261,6250,6255,,,,,"legal assembled 2 lots, 6,261 sf >= 2x2400",
RESOLVED-SINGLE,C,"1314 E 28th St, Houston, TX 77009",pmt_1314-e-28th-st-77009,(unlabeled),0580150000006,LT 6 BLK 3|EAST SUNSET HEIGHTS,1,0,5000,,,,,,,"legal LT n + 5,000 sf full lot",
RESOLVED-SINGLE,C,"1330 W 24th St, Houston, Tx 77008",2131330283,(unlabeled),0561650000372,TR 156B|SHADY ACRES SEC 2,0,1,10828,10890,5444,,,,,"legal TR only (1 frag) + 10,828 sf full lot",
RESOLVED-SINGLE,C,"1336 Herkimer St, Houston, TX 77008",pmt_1336-herkimer-st-77008,(unlabeled),0201740000007,LTS 7 & 8 BLK 178|HOUSTON HEIGHTS,2,0,8807,,5894,,,,,"legal assembled 2 lots, 8,807 sf >= 2x2400",
RESOLVED-SINGLE,C,"1402 W 14th St, Houston, Tx 77008",2131225773,(unlabeled),0391270000026,LTS 1058 & 1059|HOUSTON HEIGHTS ANNEX,2,0,4973,5000,3700,,,,,"legal assembled 2 lots, 4,973 sf >= 2x2400",
RESOLVED-SINGLE,C,"1410 Herkimer St, Houston, TX 77008",pmt_1410-herkimer-st-77008,(unlabeled),0201450000013,LT 14 & TRS 13 & 15A BLK 149|HOUSTON HEIGHTS,1,2,8799,,6884,,,,,"legal LT n + 2 TR + 8,799 sf full lot",
RESOLVED-SINGLE,C,"1412 Northwood St, Houston, Tx 77009",2131228942,(unlabeled),0331430150002,LT 2 BLK 115|BROOKE SMITH,1,0,5215,5000,5015,YES,,,,"legal LT n + 5,215 sf full lot",
RESOLVED-SINGLE,C,"1434 Herkimer St, Houston, TX 77008",pmt_1434-herkimer-st-77008,(unlabeled),0201450000004,LT 4 & TR 5A BLK 149|HOUSTON HEIGHTS,1,1,6683,,6884,,,,,"legal LT n + 1 TR + 6,683 sf full lot",
RESOLVED-SINGLE,C,"1436 Dorothy St, Houston, Tx 77008",2131086163,(unlabeled),0391210000738,LTS 738 & 739|HOUSTON HEIGHTS ANNEX,2,0,5050,5000,2525,,,,,"legal assembled 2 lots, 5,050 sf >= 2x2400",
RESOLVED-SINGLE,C,"1448 W 25th St, Houston, Tx 77008",2131330121,(unlabeled),0561650000278,TR 139A|SHADY ACRES SEC 2,0,1,10889,10890,5444,,,,,"legal TR only (1 frag) + 10,889 sf full lot",
RESOLVED-SINGLE,C,"1506 Tabor St, Houston, Tx 77009",2131312852,(unlabeled),0331340970003,LT 3 & TR 4A BLK 97|BROOKE SMITH,1,1,6222,6000,4991,YES,,,,"legal LT n + 1 TR + 6,222 sf full lot",
RESOLVED-SINGLE,C,"1506 W 21st St, Houston, Tx 77008",2131331183,(unlabeled),0561660000238,LT 238|SHADY ACRES SEC 2,1,0,6308,6300,8206,,,,,"legal LT n + 6,308 sf full lot",
RESOLVED-SINGLE,C,"1510 Glen Oaks St, Houston, Tx 77008",2131538725,(unlabeled),0771820170003,LT 3 BLK 17|TIMBERGROVE MANOR SEC 3,1,0,7713,7735,8706,,,,,"legal LT n + 7,713 sf full lot",
RESOLVED-SINGLE,C,"1516 Lawrence St, Houston, Tx 77008",2131218924,(unlabeled),0391140000400,LTS 400 & 401|HOUSTON HEIGHTS ANNEX,2,0,5005,5000,3627,,,,,"legal assembled 2 lots, 5,005 sf >= 2x2400",
RESOLVED-SINGLE,C,"1518 Herkimer St, Houston, Tx 77008",2131284475,(unlabeled),0201440000011,LT 12 & TR 11 BLK 148|HOUSTON HEIGHTS,1,1,6600,6600,6000,,,,,"legal LT n + 1 TR + 6,600 sf full lot",
RESOLVED-SINGLE,C,"1533 Herkimer St, Houston, Tx 77008",2131284485,(unlabeled),0201440000029,LT 30 & TR 29 BLK 148|HOUSTON HEIGHTS,1,1,5999,6000,6000,,,,,"legal LT n + 1 TR + 5,999 sf full lot",
RESOLVED-SINGLE,C,"1534 Beall St, Houston, Tx 77008",2131331686,(unlabeled),0561670000387,TR 387A|SHADY ACRES EXTN SEC 3,0,1,10893,10875,3824,,,,,"legal TR only (1 frag) + 10,893 sf full lot",
RESOLVED-SINGLE,C,"1624 Heights Blvd, Houston, Tx 77008",2131283630,(unlabeled),0201130000017,LT 18 & TR 17A BLK 117|HOUSTON HEIGHTS,1,1,11274,11250,7521,,,,,"legal LT n + 1 TR + 11,274 sf full lot",
RESOLVED-SINGLE,C,"1631 Walton St, Houston, Tx 77009",2131313407,(unlabeled),0521510000008,LT 8|OAKDALE PLACE 2ND R/P,1,0,5279,5000,4944,YES,,,,"legal LT n + 5,279 sf full lot",
RESOLVED-SINGLE,C,"1703 Yale St, Houston, Tx 77008",2131283678,(unlabeled),0201150000048,TRS 47A 48A 49A & 50A BLK 119|HOUSTON HEIGHTS,0,4,8731,8858,6678,,,,,"legal TR only (4 frag) + 8,731 sf full lot",
RESOLVED-SINGLE,C,"1818 N Shepherd Dr, Houston, Tx 77008",2131187480,(unlabeled),0200940000021,TRS 21 22 23 & 24 BLK 98|HOUSTON HEIGHTS,0,4,10146,9500,4550,,,,,"legal TR only (4 frag) + 10,146 sf full lot",
RESOLVED-SINGLE,C,"1922 Bonner St, Houston, TX 77007",pmt_1922-bonner-st-77007,(unlabeled),0400310000027,TR 6G|ABST 1 J AUSTIN,0,1,7500,,6240,,,,,"legal TR only (1 frag) + 7,500 sf full lot",
RESOLVED-SINGLE,C,"201 E 26th St, Houston, Tx 77008",2131193248,(unlabeled),0350870330033,LTS 33 & 34 & TR 32A BLK 33|SUNSET HEIGHTS,2,1,6655,6680,3000,,,,,"legal assembled 2 lots, 6,655 sf >= 2x2400",
RESOLVED-SINGLE,C,"2036 Cortlandt St, Houston, Tx 77008",2131041898,(unlabeled),0200650000022,TRS 22 & 23A BLK 69|HOUSTON HEIGHTS,0,2,6544,6600,6986,,,,,"legal TR only (2 frag) + 6,544 sf full lot",
RESOLVED-SINGLE,C,"205 E 24th St, Houston, Tx 77008",2131437247,(unlabeled),0562770000003,LT 3 BLK 3|MILROY PLACE,1,0,5298,5300,5300,YES,,,,"legal LT n + 5,298 sf full lot",
RESOLVED-SINGLE,C,"205 Northwood St, Houston, Tx 77009",2131195093,(unlabeled),0330700000009,LT 9 BLK 4|BROOKE SMITH,1,0,5085,5000,5064,YES,,,,"legal LT n + 5,085 sf full lot",
RESOLVED-SINGLE,C,"205 W 24th St, Houston, Tx 77008",2131282833,(unlabeled),0200380000071,LT 46 BLK 42|HOUSTON HEIGHTS 58TH AMEND,1,0,4585,4585,3275,,,,,"4,585 sf = 140% of plat median 3,275",
RESOLVED-SINGLE,C,"212 E 25th St, Houston, Tx 77008",2131437380,(unlabeled),0562800000012,LT 12 & E 7FT OF LT 13 BLK 6|MILROY PLACE,2,0,5908,6000,5253,YES,,,,"legal assembled 2 lots, 5,908 sf >= 2x2400",
RESOLVED-SINGLE,C,"214 Sylvester Rd, Houston, TX 77009",pmt_214-sylvester-rd-77009,(unlabeled),0660270020019,LT 15 BLK 2 &|TR 47C-1 SHARMAN TRACT U/R|ABST 1 J AUSTIN|KOSKA,1,0,8936,,8964,,yes,,,"legal LT n + 8,936 sf full lot",
RESOLVED-SINGLE,C,"2715 Houston Ave, Houston, Tx 77009",2131156653,(unlabeled),0533000000005,LT 5|HURLOCK & FIELDS,1,0,5351,5000,,,,,,"legal LT n + 5,351 sf full lot",
RESOLVED-SINGLE,C,"301 Enid St, Houston, Tx 77009",2131227429,(unlabeled),0330830000007,LT 7 BLK 17|BROOKE SMITH,1,0,5093,5000,5113,YES,,,,"legal LT n + 5,093 sf full lot",
RESOLVED-SINGLE,C,"303 Bayland Ave, Houston, Tx 77009",2131208578,(unlabeled),0372710000001,TRS 1 & 2 BLK 6|WOODLAND HEIGHTS,0,2,7513,7500,,,,,,"legal TR only (2 frag) + 7,513 sf full lot",
RESOLVED-SINGLE,C,"303 Enid St, Houston, Tx 77009",2170723831,(unlabeled),0330830000014,LT 8 BLK 17|BROOKE SMITH,1,0,5093,5000,5113,YES,,,,"legal LT n + 5,093 sf full lot",
RESOLVED-SINGLE,C,"305 Tabor St, Houston, Tx 77009",2131226980,(unlabeled),0330740000009,LT 9 BLK 8|BROOKE SMITH,1,0,5090,5000,5058,YES,,,,"legal LT n + 5,090 sf full lot",
RESOLVED-SINGLE,C,"310 Conoly St, Houston, Tx 77009",2131428357,(unlabeled),0691180010003,LT 3 BLK 1|WALLING STREET,1,0,8115,8070,6302,,,,,"legal LT n + 8,115 sf full lot",
RESOLVED-SINGLE,C,"310 E 25th St, Houston, Tx 77008",2131318733,(unlabeled),0350980550005,LTS 5 & 6 BLK 55|SUNSET HEIGHTS,2,0,6085,6000,5520,,,,,"legal assembled 2 lots, 6,085 sf >= 2x2400",
RESOLVED-SINGLE,C,"344 Harvard St, Houston, Tx 77007",2131190693,(unlabeled),0210430000025,TRS 25 & 26A BLK 311|HOUSTON HEIGHTS,0,2,6075,6075,,,,,,"legal TR only (2 frag) + 6,075 sf full lot",
RESOLVED-SINGLE,C,"410 Merrill St, Houston, Tx 77009",2131421176,(unlabeled),0503260000015,LT 15|WOODLAND PARK,1,0,6393,6000,6200,,,,,"legal LT n + 6,393 sf full lot",
RESOLVED-SINGLE,C,"4308 Julian St, Houston, Tx 77009",2131347730,(unlabeled),0590270000006,LT 6 BLK 1|PARKER,1,0,4639,5000,4603,YES,,,,"4,639 sf = 101% of plat median 4,603",
RESOLVED-SINGLE,C,"433 W 23rd St, Houston, TX 77008",pmt_433-w-23rd-st-77008,(unlabeled),0200420000034,LTS 34 35 & 36 BLK 46|HOUSTON HEIGHTS,3,0,9825,,3279,,,,,"legal assembled 3 lots, 9,825 sf >= 3x2400",
RESOLVED-SINGLE,C,"500 Aurora St, Houston, Tx 77008",2131318619,(unlabeled),0350950500001,LTS 1 & 2 BLK 50|SUNSET HEIGHTS,2,0,6000,6000,6000,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,C,"507 Cordell St, Houston, Tx 77009",2131227565,(unlabeled),0330860000012,LT 12 BLK 20|BROOKE SMITH,1,0,4940,5000,4940,YES,,,,"4,940 sf = 100% of plat median 4,940",
RESOLVED-SINGLE,C,"511 Cordell St, Houston, Tx 77009",2131227567,(unlabeled),0330860000013,LT 13 BLK 20|BROOKE SMITH,1,0,4926,5000,4940,YES,,,,"4,926 sf = 100% of plat median 4,940",
RESOLVED-SINGLE,C,"512 Threlkeld St, Houston, Tx 77007",2131370103,(unlabeled),0512050030014,LT 14 BLK 3|USENER,1,0,5000,5000,5000,YES,,,,"5,000 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"520 W 24th St, Houston, Tx 77008",2131144336,(unlabeled),0200430000011,LTS 11 & 12 BLK 47|HOUSTON HEIGHTS,2,0,6550,6550,3275,,,,,"legal assembled 2 lots, 6,550 sf >= 2x2400",
RESOLVED-SINGLE,C,"531 Threlkeld St, Houston, Tx 77007",2131370154,(unlabeled),0512050040005,TR 23 BLK 4|USENER,0,1,6000,6000,5000,YES,,,,"legal TR only (1 frag) + 6,000 sf full lot",
RESOLVED-SINGLE,C,"533 Studewood St, Houston, Tx 77007",2131370113,(unlabeled),0512050030021,LT 21 BLK 3|USENER,1,0,5750,5750,5000,YES,,,,"legal LT n + 5,750 sf full lot",
RESOLVED-SINGLE,C,"545 W 27th St, Houston, Tx 77008",2131143852,(unlabeled),0200140000025,LT 25 & TR 26A BLK 18|HOUSTON HEIGHTS,1,1,4912,4910,3900,,,,,"4,912 sf = 126% of plat median 3,900",
RESOLVED-SINGLE,C,"6005 N Main St, Houston, Tx 77009",2131018442,(unlabeled),0060570000002,TRS 1A 2A & 3A BLK 1|BARTHOLOMEW PLACE,0,3,6126,7500,,,,,,"legal TR only (3 frag) + 6,126 sf full lot",
RESOLVED-SINGLE,C,"602 E 29th St, Houston, Tx 77008",2131207363,(unlabeled),0350760110016,LTS 16 & 17 BLK 11|SUNSET HEIGHTS,2,0,6000,6000,5754,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,C,"607 Melwood St, Houston, Tx 77009",2131228154,(unlabeled),0330960000012,LT 12 BLK 30|BROOKE SMITH,1,0,4967,5000,5001,YES,,,,"4,967 sf = 99% of plat median 5,001",
RESOLVED-SINGLE,C,"608 E 29th St, Houston, Tx 77008",2131207382,(unlabeled),0350760110018,LTS 18 19 20 & 21 BLK 11|SUNSET HEIGHTS,4,0,12000,12000,5754,,,,,"legal assembled 4 lots, 12,000 sf >= 4x2400",
RESOLVED-SINGLE,C,"611 Mathis St, Houston, Tx 77009",2131175661,(unlabeled),0331140610001,LT 1 BLK 61|BROOKE SMITH,1,0,5000,5000,5000,YES,,,,"5,000 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"615 Allston St, Houston, Tx 77007",2131149358,(unlabeled),0210060000037,TRS 8A & 9A BLK 274|HOUSTON HEIGHTS,0,2,4950,4884,4413,,,,,"4,950 sf = 112% of plat median 4,413",
RESOLVED-SINGLE,C,"616 E 5th St, Houston, Tx 77007",2131190507,(unlabeled),0210380000001,LT 1 & TR 2A BLK 306 &|TR 1C ABST 1 J AUSTIN|HOUSTON HEIGHTS,1,1,6436,5625,,,,,,"legal LT n + 1 TR + 6,436 sf full lot",
RESOLVED-SINGLE,C,"625 Merrill St, Houston, TX 77009",pmt_625-merrill-st-77009,(unlabeled),0371050000014,LT 14 & TR 15A|WILLBORG,1,1,7268,,6219,,,,,"legal LT n + 1 TR + 7,268 sf full lot",
RESOLVED-SINGLE,C,"626 E 22nd St, Houston, Tx 77008",2131145222,(unlabeled),0200610000001,LT 1 BLK 65|HOUSTON HEIGHTS 72ND AMEND ,1,0,4510,4510,4987,YES,,,,"4,510 sf = 90% of plat median 4,987",
RESOLVED-SINGLE,C,"627 Mazal (Pvt) Ln, Houston, TX 77009",pmt_627-mazal-pvt-ln-77009,(unlabeled),1368390010012,ROW- PRIVATE STREET|NORTHWOOD ESTATES,0,0,10206,,1399,,yes,,,"legal TR only (0 frag) + 10,206 sf full lot",
RESOLVED-SINGLE,C,"637 E 6th 1/2 St, Houston, Tx 77007",2131226721,(unlabeled),0400460000017,TR 5B|TAYLOR E A TRACT|ABST 1 J AUSTIN,0,1,9450,9450,6750,,,,,"legal TR only (1 frag) + 9,450 sf full lot",
RESOLVED-SINGLE,C,"704 E 26th St, Houston, Tx 77009",2131194068,(unlabeled),0350910410008,TRS 8 9 &10 BLK 41|SUNSET HEIGHTS,0,3,4119,4120,4500,,,,,"4,119 sf = 92% of plat median 4,500",
RESOLVED-SINGLE,C,"704 E 28th St, Houston, Tx 77009",2131208326,(unlabeled),0350810220008,TRS 8 9 & 10 BLK 22|SUNSET HEIGHTS,0,3,6467,4818,3015,,,,,"legal TR only (3 frag) + 6,467 sf full lot",
RESOLVED-SINGLE,C,"710 E 7th St, Houston, TX 77007",pmt_710-e-7th-st-77007,(unlabeled),0350290550001,LT 2 & W 10 FT OF LT 4 BLK 55|STUDES SEC 2 5TH AMEND,2,0,6250,,6250,,,,PARTIAL 2024_Oct->2025_Oct,"legal assembled 2 lots, 6,250 sf >= 2x2400",
RESOLVED-SINGLE,C,"710 Le Green St, Houston, TX 77008",pmt_710-le-green-st-77008,(unlabeled),0520390000072,LT 72|RIDGEWOOD,1,0,5043,,5043,YES,,,,"legal LT n + 5,043 sf full lot",
RESOLVED-SINGLE,C,"714 W 23rd St, Houston, Tx 77008",2131144616,(unlabeled),0200480000050,TRS 10 & 11 BLK 52|HOUSTON HEIGHTS,0,2,5045,5000,6550,,,,,"legal TR only (2 frag) + 5,045 sf full lot",
RESOLVED-SINGLE,C,"716 E 25th St, Houston, Tx 77008",2131318883,(unlabeled),0351000590008,LTS 8 9 & 10 BLK 59|SUNSET HEIGHTS,3,0,9000,9000,4500,,,,,"legal assembled 3 lots, 9,000 sf >= 3x2400",
RESOLVED-SINGLE,C,"726 E 26th St, Houston, Tx 77009",2131194086,(unlabeled),0350910430003,LT 13 BLK 41|SUNSET HEIGHTS 15TH AMEND,1,0,5300,5300,4500,,,,,"legal LT n + 5,300 sf full lot",
RESOLVED-SINGLE,C,"728 Euclid St, Houston, TX 77009",pmt_728-euclid-st-77009,(unlabeled),0373020000006,TRS 6 & 7A BLK 37|WOODLAND HEIGHTS,0,2,9477,,,,,,,"legal TR only (2 frag) + 9,477 sf full lot",
RESOLVED-SINGLE,C,"741 W 21st St, Houston, Tx 77008",2131042481,(unlabeled),0200740000027,LTS 27 & 28 BLK 78|HOUSTON HEIGHTS,2,0,6550,6550,5240,YES,,,,"legal assembled 2 lots, 6,550 sf >= 2x2400",
RESOLVED-SINGLE,C,"805 Tabor St, Houston, Tx 77009",2131228576,(unlabeled),0331400090009,LT 9 BLK 109|BROOKE SMITH,1,0,5013,5000,4993,YES,,,,"legal LT n + 5,013 sf full lot",
RESOLVED-SINGLE,C,"805 Walton St, Houston, Tx 77009",2131313166,(unlabeled),0331370040009,LT 9 BLK 104|BROOKE SMITH,1,0,4993,5000,5000,YES,,,,"4,993 sf = 100% of plat median 5,000",
RESOLVED-SINGLE,C,"813 Herkimer St, Houston, Tx 77007",2131044677,(unlabeled),0202350000025,LT 25 BLK 239|HOUSTON HEIGHTS 71ST AMEND,1,0,7532,7582,4000,,,,,"legal LT n + 7,532 sf full lot",
RESOLVED-SINGLE,C,"820 E 29th St, Houston, Tx 77009",2131207218,(unlabeled),0350750090073,LTS 10 & 11 BLK 9|SUNSET HEIGHTS,2,0,6000,6000,5743,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,C,"822 Nashua St, Houston, TX 77008",pmt_822-nashua-st-77008,(unlabeled),0771820130025,LT 25 BLK 13|TIMBERGROVE MANOR SEC 3,1,0,8402,,8706,,,,,"legal LT n + 8,402 sf full lot",
RESOLVED-SINGLE,C,"830 E 26th St, Houston, Tx 77009",2131194125,(unlabeled),0350910420014,LTS 14 & 15 BLK 42|SUNSET HEIGHTS,2,0,6000,6000,4500,,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,C,"839 Allston St, Houston, TX 77007",pmt_839-allston-st-77007,(unlabeled),0202400000003,LT 3 BLK 244|HOUSTON HEIGHTS,1,0,6600,,6600,,,,,"legal LT n + 6,600 sf full lot",
RESOLVED-SINGLE,C,"839 E 26th St, Houston, Tx 77009",2131192777,(unlabeled),0350840270029,LTS 29 & 30 BLK 27|SUNSET HEIGHTS,2,0,6000,6000,5256,YES,,,,"legal assembled 2 lots, 6,000 sf >= 2x2400",
RESOLVED-SINGLE,C,"841 Rutland St, Houston, Tx 77007",2131044972,(unlabeled),0202390000002,LT 3 & TR 2 BLK 243|HOUSTON HEIGHTS,1,1,6599,6600,4400,,,,,"legal LT n + 1 TR + 6,599 sf full lot",
RESOLVED-SINGLE,C,"901 Dorothy St, Houston, Tx 77008",2131238884,(unlabeled),0642380000005,LT 5 BLK 1|HARDING HEIGHTS EXTN,1,0,4762,4750,4500,,,,,"4,762 sf = 106% of plat median 4,500",
RESOLVED-SINGLE,C,"905 Adele St, Houston, Tx 77009",2131370476,(unlabeled),0513480000009,LT 9 & TR 10A BLK 4|PINERIDGE,1,1,4500,4500,5000,YES,,,,"4,500 sf = 90% of plat median 5,000",
RESOLVED-SINGLE,C,"905 Dorothy St, Houston, Tx 77008",2131238842,(unlabeled),0642380000003,LT 3 BLK 1|HARDING HEIGHTS EXTN,1,0,4788,4750,4500,,,,,"4,788 sf = 106% of plat median 4,500",
